ID,Operator,AC,DC
1,Trugo,9.95 ₺,14.98 ₺
2,ZES,9.99 ₺,16.49 ₺
3,Eşarj,9.90 ₺,13.50 ₺
4,AstorŞarj,9.49 ₺,12.49 ₺
5,Beefull,9.90 ₺,12.99 ₺
6,Voltrun,9.90 ₺,12.90 ₺
7,Otowatt,7.99 ₺,9.99 ₺
8,Petrol Ofisi e-POwer,8.49 ₺,10.99 ₺
9,Tesla Supercharger,8.90 ₺,9.40 ₺
10,Aksa Şarj,8.99 ₺,12.49 ₺
11,Multiforce,7.00 ₺,10.90 ₺
12,Swapp,6.90 ₺,6.90 ₺
13,Onlife,5.79 ₺,8.49 ₺
14,Obişarj,9.90 ₺,12.96 ₺
15,Borenco,8.99 ₺,10.99 ₺
16,Vale,8.99 ₺,12.99 ₺
17,Neva Şarj,8.90 ₺,11.90 ₺
18,Magicline,8.20 ₺,9.90 ₺
19,RHG,9.98 ₺,12.49 ₺
20,VOLTGO,6.99 ₺,9.75 ₺
21,D-Charge,9.90 ₺,12.99 ₺
22,Shell Recharge,11.99 ₺,15.99 ₺
23,Charge Teknoloji,7.70 ₺,9.00 ₺
24,360enerji,7.00 ₺,8.99 ₺
25,Fastgo,8.49 ₺,8.90 ₺
26,FixCharge,9.33 ₺,10.76 ₺
27,Spark,8.39 ₺,9.39 ₺
28,Otopriz,7.88 ₺,13.90 ₺
29,Sharz.net,9.29 ₺,11.49 ₺
30,G-Charge,8.49 ₺,11.49 ₺
31,OnCharge (Kalyon),9.99 ₺,13.50 ₺
32,JetŞarj,8.29 ₺,11.29 ₺
33,Epsiz (Epsiz Şarj),6.00 ₺,8.99 ₺
34,Reşarj,7.79 ₺,10.79 ₺
35,CW Enerji,8.99 ₺,13.49 ₺
36,Otojet,10.49 ₺,14.99 ₺
37,Armatec,7.49 ₺,9.99 ₺
38,FullCharger (FCTR),8.29 ₺,11.29 ₺
39,ChargeIQ,7.99 ₺,10.49 ₺
40,Voltla,8.49 ₺,11.99 ₺
41,Enom Enerji,7.79 ₺,10.79 ₺
42,Hunat Enerji,8.99 ₺,12.49 ₺
43,5Şarj (Borusan EnBW),7.99 ₺,15.90 ₺
44,Çelikler Enerji,8.49 ₺,10.60 ₺
45,Enyakıt Enerji,11.80 ₺,14.90 ₺
46,Rönesans Charger,10.99 ₺,15.99 ₺
47,Şarj Mahal,8.40 ₺,11.84 ₺
48,WAT Mobilite,12.99 ₺,9.99 ₺
49,SepaşCharge,10.99 ₺,8.99 ₺
50,TotalEnergies,13.50 ₺,9.50 ₺
51,Kingpower (Jetco),11.90 ₺,8.50 ₺
52,Clixolar (Solarşarjet),15.49 ₺,10.49 ₺
53,B-Charge (Bakırcı E-Mobility),10.99 ₺,8.40 ₺
54,Plug&Drive (PGD Enerji),11.90 ₺,8.90 ₺
55,Getasolar (Proşarj),11.90 ₺,8.90 ₺
56,Hızzlan Charge / N'Drive,12.99 ₺,9.99 ₺
